sample_id,dimension,rule_score,teacher_mapped_score,error_rule_minus_teacher,abs_error,mapping
battery,information,98.57,84.88,13.69,13.69,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
battery,layout,67.4,78.56,-11.16,11.16,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
battery,visual,78.6,76.81,1.79,1.79,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
battery,consistency,54.11,72.44,-18.33,18.33,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
care,information,46.0,77.5,-31.5,31.5,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
care,layout,41.67,70.06,-28.39,28.39,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
care,visual,57.43,72.38,-14.95,14.95,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
care,consistency,60.73,68.75,-8.02,8.02,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
earbuds,information,97.14,37.5,59.64,59.64,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
earbuds,layout,42.78,38.44,4.34,4.34,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
earbuds,visual,74.02,46.25,27.77,27.77,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
earbuds,consistency,66.49,47.19,19.3,19.3,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
focus,information,100.0,85.25,14.75,14.75,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
focus,layout,75.07,80.56,-5.49,5.49,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
focus,visual,85.57,80.5,5.07,5.07,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
focus,consistency,56.65,78.12,-21.47,21.47,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
marathon,information,100.0,84.5,15.5,15.5,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
marathon,layout,45.78,78.25,-32.47,32.47,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
marathon,visual,75.54,76.44,-0.9,0.9,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
marathon,consistency,51.92,74.12,-22.2,22.2,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
meeting,information,100.0,79.38,20.62,20.62,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
meeting,layout,71.6,74.06,-2.46,2.46,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
meeting,visual,76.82,75.38,1.44,1.44,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
meeting,consistency,69.72,70.25,-0.53,0.53,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
sleep,information,46.66,84.12,-37.46,37.46,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
sleep,layout,46.11,77.38,-31.27,31.27,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
sleep,visual,73.78,77.44,-3.66,3.66,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
sleep,consistency,60.73,74.62,-13.89,13.89,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
status,information,100.0,79.38,20.62,20.62,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
status,layout,45.04,75.19,-30.15,30.15,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
status,visual,67.53,72.56,-5.03,5.03,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
status,consistency,65.75,71.12,-5.37,5.37,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
warn,information,100.0,84.5,15.5,15.5,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
warn,layout,75.03,78.06,-3.03,3.03,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
warn,visual,82.31,76.44,5.87,5.87,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
warn,consistency,58.17,73.56,-15.39,15.39,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
weather,information,82.0,83.75,-1.75,1.75,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
weather,layout,61.33,76.31,-14.98,14.98,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
weather,visual,79.7,75.5,4.2,4.2,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
weather,consistency,54.92,73.12,-18.2,18.2,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
