sample_id,dimension,metric,metric_score,metric_value,overall_error_rule_minus_teacher
battery,consistency,alignment,69.23,0.6923,-5.72
battery,consistency,typography_rhythm,45.78,5,-5.72
battery,consistency,corner_radius_consistency,36.79,"{""radii"": [6.72, 6.72, 6.48, 11.63, 43.03, 9.49], ""unique_radius_count"": 4}",-5.72
battery,consistency,padding_consistency,11.35,0.777,-5.72
battery,consistency,icon_size_consistency,29.88,0.3451,-5.72
battery,consistency,grid,80.77,0.8077,-5.72
battery,consistency,style_simplicity,88.25,5,-5.72
battery,information,coverage,100.0,1.0,-5.72
battery,information,truncation,100.0,0.0,-5.72
battery,information,duplicate,85.71,0.1429,-5.72
battery,layout,whitespace,90.99,0.4131,-5.72
battery,layout,margin_consistency,20.98,0.7808,-5.72
battery,layout,spacing_rhythm,35.41,0.5768,-5.72
battery,layout,density,90.99,0.5869,-5.72
battery,layout,overlap,90.85,0.0915,-5.72
battery,layout,overflow,100.0,0.0,-5.72
battery,visual,color_harmony,95.04,"{""avg_lab_distance"": 77.45, ""color_count"": 5}",-5.72
battery,visual,contrast,24.79,2.39,-5.72
battery,visual,visual_focus,85.46,0.3042,-5.72
battery,visual,visual_balance,88.49,0.1384,-5.72
battery,visual,text_image_ratio,66.29,0.2598,-5.72
battery,visual,reading_flow,68.19,"{""backtracks"": 1, ""path_norm"": 1.1004}",-5.72
battery,visual,hierarchy,96.75,0.2383,-5.72
care,consistency,alignment,40.0,0.4,-20.72
care,consistency,typography_rhythm,82.26,4,-20.72
care,consistency,grid,60.0,0.6,-20.72
care,consistency,style_simplicity,60.65,6,-20.72
care,information,coverage,40.0,0.4,-20.72
care,information,truncation,40.0,0.6,-20.72
care,information,duplicate,100.0,0.0,-20.72
care,layout,whitespace,19.69,0.8606,-20.72
care,layout,margin_consistency,39.24,0.4677,-20.72
care,layout,spacing_rhythm,28.38,0.6997,-20.72
care,layout,density,19.69,0.1394,-20.72
care,layout,overlap,100.0,0.0,-20.72
care,layout,overflow,100.0,0.0,-20.72
care,visual,color_harmony,67.43,"{""avg_lab_distance"": 97.96, ""color_count"": 6}",-20.72
care,visual,contrast,16.64,1.889,-20.72
care,visual,visual_focus,30.17,0.8525,-20.72
care,visual,visual_balance,57.52,0.2945,-20.72
care,visual,text_image_ratio,37.2,1.0,-20.72
care,visual,reading_flow,85.39,"{""backtracks"": 0, ""path_norm"": 0.8114}",-20.72
care,visual,hierarchy,99.72,0.3178,-20.72
earbuds,consistency,alignment,90.91,0.9091,19.05
earbuds,consistency,typography_rhythm,45.78,5,19.05
earbuds,consistency,corner_radius_consistency,60.65,"{""radii"": [4.21, 8.04, 6.74], ""unique_radius_count"": 3}",19.05
earbuds,consistency,padding_consistency,25.77,0.4843,19.05
earbuds,consistency,icon_size_consistency,45.7,0.2237,19.05
earbuds,consistency,grid,93.18,0.9318,19.05
earbuds,consistency,style_simplicity,88.25,3,19.05
earbuds,information,coverage,100.0,1.0,19.05
earbuds,information,truncation,85.71,0.1429,19.05
earbuds,information,duplicate,100.0,0.0,19.05
earbuds,layout,whitespace,31.54,0.8038,19.05
earbuds,layout,margin_consistency,31.08,0.5843,19.05
earbuds,layout,spacing_rhythm,17.18,0.9786,19.05
earbuds,layout,density,31.54,0.1962,19.05
earbuds,layout,overlap,100.0,0.0,19.05
earbuds,layout,overflow,100.0,0.0,19.05
earbuds,visual,color_harmony,45.41,"{""avg_lab_distance"": 127.65, ""color_count"": 3}",19.05
earbuds,visual,contrast,36.41,2.943,19.05
earbuds,visual,visual_focus,97.44,0.5092,19.05
earbuds,visual,visual_balance,89.8,0.1299,19.05
earbuds,visual,text_image_ratio,58.66,0.8805,19.05
earbuds,visual,reading_flow,79.1,"{""backtracks"": 0, ""path_norm"": 1.1613}",19.05
earbuds,visual,hierarchy,95.58,0.3722,19.05
focus,consistency,alignment,65.0,0.65,-2.53
focus,consistency,typography_rhythm,82.26,2,-2.53
focus,consistency,corner_radius_consistency,60.65,"{""radii"": [3.52, 4.13, 5.14, 7.04, 8.01], ""unique_radius_count"": 3}",-2.53
focus,consistency,padding_consistency,18.67,0.5994,-2.53
focus,consistency,icon_size_consistency,26.93,0.3748,-2.53
focus,consistency,grid,62.5,0.625,-2.53
focus,consistency,style_simplicity,60.65,6,-2.53
focus,information,coverage,100.0,1.0,-2.53
focus,information,truncation,100.0,0.0,-2.53
focus,information,duplicate,100.0,0.0,-2.53
focus,layout,whitespace,99.78,0.4867,-2.53
focus,layout,margin_consistency,15.0,0.9487,-2.53
focus,layout,spacing_rhythm,59.23,0.291,-2.53
focus,layout,density,99.78,0.5133,-2.53
focus,layout,overlap,100.0,0.0,-2.53
focus,layout,overflow,100.0,0.0,-2.53
focus,visual,color_harmony,80.09,"{""avg_lab_distance"": 81.47, ""color_count"": 6}",-2.53
focus,visual,contrast,56.13,3.747,-2.53
focus,visual,visual_focus,79.12,0.272,-2.53
focus,visual,visual_balance,99.24,0.0345,-2.53
focus,visual,text_image_ratio,98.83,0.5009,-2.53
focus,visual,reading_flow,90.73,"{""backtracks"": 0, ""path_norm"": 0.5147}",-2.53
focus,visual,hierarchy,96.98,0.2406,-2.53
marathon,consistency,alignment,41.67,0.4167,-15.68
marathon,consistency,typography_rhythm,45.78,5,-15.68
marathon,consistency,grid,62.5,0.625,-15.68
marathon,consistency,style_simplicity,60.65,6,-15.68
marathon,information,coverage,100.0,1.0,-15.68
marathon,information,truncation,100.0,0.0,-15.68
marathon,information,duplicate,100.0,0.0,-15.68
marathon,layout,whitespace,28.27,0.8179,-15.68
marathon,layout,margin_consistency,34.81,0.5276,-15.68
marathon,layout,spacing_rhythm,36.61,0.5582,-15.68
marathon,layout,density,28.27,0.1821,-15.68
marathon,layout,overlap,100.0,0.0,-15.68
marathon,layout,overflow,100.0,0.0,-15.68
marathon,visual,color_harmony,67.11,"{""avg_lab_distance"": 98.33, ""color_count"": 6}",-15.68
marathon,visual,contrast,38.59,3.035,-15.68
marathon,visual,visual_focus,93.6,0.3555,-15.68
marathon,visual,visual_balance,90.43,0.1256,-15.68
marathon,visual,text_image_ratio,37.2,1.0,-15.68
marathon,visual,reading_flow,83.01,"{""backtracks"": 0, ""path_norm"": 0.9439}",-15.68
