sample_id,dimension,metric,metric_score,metric_value,overall_error_rule_minus_teacher
battery,consistency,alignment,69.23,0.6923,-0.37
battery,consistency,typography_rhythm,45.78,5,-0.37
battery,consistency,corner_radius_consistency,36.79,"{""radii"": [6.72, 6.72, 6.48, 11.63, 43.03, 9.49], ""unique_radius_count"": 4}",-0.37
battery,consistency,padding_consistency,11.35,0.777,-0.37
battery,consistency,icon_size_consistency,29.88,0.3451,-0.37
battery,consistency,grid,80.77,0.8077,-0.37
battery,consistency,style_simplicity,88.25,5,-0.37
battery,information,coverage,100.0,1.0,-0.37
battery,information,truncation,100.0,0.0,-0.37
battery,information,duplicate,85.71,0.1429,-0.37
battery,layout,whitespace,100.0,0.4131,-0.37
battery,layout,margin_consistency,20.98,0.7808,-0.37
battery,layout,spacing_rhythm,35.41,0.5768,-0.37
battery,layout,density,100.0,0.5869,-0.37
battery,layout,overlap,90.85,0.0915,-0.37
battery,layout,overflow,100.0,0.0,-0.37
battery,visual,color_harmony,95.04,"{""avg_lab_distance"": 77.45, ""color_count"": 5}",-0.37
battery,visual,contrast,24.79,2.39,-0.37
battery,visual,visual_focus,85.46,0.3042,-0.37
battery,visual,visual_balance,88.49,0.1384,-0.37
battery,visual,text_image_ratio,66.29,0.2598,-0.37
battery,visual,reading_flow,68.19,"{""backtracks"": 1, ""path_norm"": 1.1004}",-0.37
battery,visual,hierarchy,96.75,0.2383,-0.37
care,consistency,alignment,40.0,0.4,-0.5
care,consistency,typography_rhythm,82.26,4,-0.5
care,consistency,grid,60.0,0.6,-0.5
care,consistency,style_simplicity,60.65,6,-0.5
care,information,coverage,40.0,0.4,-0.5
care,information,truncation,40.0,0.6,-0.5
care,information,duplicate,100.0,0.0,-0.5
care,layout,whitespace,100.0,0.2084,-0.5
care,layout,margin_consistency,39.24,0.4677,-0.5
care,layout,spacing_rhythm,28.38,0.6997,-0.5
care,layout,density,100.0,0.7916,-0.5
care,layout,overlap,100.0,0.0,-0.5
care,layout,overflow,100.0,0.0,-0.5
care,visual,color_harmony,67.43,"{""avg_lab_distance"": 97.96, ""color_count"": 6}",-0.5
care,visual,contrast,16.64,1.889,-0.5
care,visual,visual_focus,30.17,0.8525,-0.5
care,visual,visual_balance,57.52,0.2945,-0.5
care,visual,text_image_ratio,37.2,1.0,-0.5
care,visual,reading_flow,85.39,"{""backtracks"": 0, ""path_norm"": 0.8114}",-0.5
care,visual,hierarchy,99.72,0.3178,-0.5
earbuds,consistency,alignment,90.91,0.9091,9.9
earbuds,consistency,typography_rhythm,45.78,5,9.9
earbuds,consistency,corner_radius_consistency,60.65,"{""radii"": [4.21, 8.04, 6.74], ""unique_radius_count"": 3}",9.9
earbuds,consistency,padding_consistency,25.77,0.4843,9.9
earbuds,consistency,icon_size_consistency,45.7,0.2237,9.9
earbuds,consistency,grid,93.18,0.9318,9.9
earbuds,consistency,style_simplicity,88.25,3,9.9
earbuds,information,coverage,100.0,1.0,9.9
earbuds,information,truncation,85.71,0.1429,9.9
earbuds,information,duplicate,100.0,0.0,9.9
earbuds,layout,whitespace,43.97,0.8038,9.9
earbuds,layout,margin_consistency,31.08,0.5843,9.9
earbuds,layout,spacing_rhythm,17.18,0.9786,9.9
earbuds,layout,density,30.63,0.1962,9.9
earbuds,layout,overlap,100.0,0.0,9.9
earbuds,layout,overflow,100.0,0.0,9.9
earbuds,visual,color_harmony,45.41,"{""avg_lab_distance"": 127.65, ""color_count"": 3}",9.9
earbuds,visual,contrast,36.41,2.943,9.9
earbuds,visual,visual_focus,97.44,0.5092,9.9
earbuds,visual,visual_balance,89.8,0.1299,9.9
earbuds,visual,text_image_ratio,58.66,0.8805,9.9
earbuds,visual,reading_flow,79.1,"{""backtracks"": 0, ""path_norm"": 1.1613}",9.9
earbuds,visual,hierarchy,95.58,0.3722,9.9
focus,consistency,alignment,65.0,0.65,-0.45
focus,consistency,typography_rhythm,82.26,2,-0.45
focus,consistency,corner_radius_consistency,60.65,"{""radii"": [3.52, 4.13, 5.14, 7.04, 8.01], ""unique_radius_count"": 3}",-0.45
focus,consistency,padding_consistency,18.67,0.5994,-0.45
focus,consistency,icon_size_consistency,26.93,0.3748,-0.45
focus,consistency,grid,62.5,0.625,-0.45
focus,consistency,style_simplicity,60.65,6,-0.45
focus,information,coverage,100.0,1.0,-0.45
focus,information,truncation,100.0,0.0,-0.45
focus,information,duplicate,100.0,0.0,-0.45
focus,layout,whitespace,100.0,0.4867,-0.45
focus,layout,margin_consistency,15.0,0.9487,-0.45
focus,layout,spacing_rhythm,59.23,0.291,-0.45
focus,layout,density,100.0,0.5133,-0.45
focus,layout,overlap,100.0,0.0,-0.45
focus,layout,overflow,100.0,0.0,-0.45
focus,visual,color_harmony,80.09,"{""avg_lab_distance"": 81.47, ""color_count"": 6}",-0.45
focus,visual,contrast,56.13,3.747,-0.45
focus,visual,visual_focus,79.12,0.272,-0.45
focus,visual,visual_balance,99.24,0.0345,-0.45
focus,visual,text_image_ratio,98.83,0.5009,-0.45
focus,visual,reading_flow,90.73,"{""backtracks"": 0, ""path_norm"": 0.5147}",-0.45
focus,visual,hierarchy,96.98,0.2406,-0.45
marathon,consistency,alignment,41.67,0.4167,-3.87
marathon,consistency,typography_rhythm,45.78,5,-3.87
marathon,consistency,grid,62.5,0.625,-3.87
marathon,consistency,style_simplicity,60.65,6,-3.87
marathon,information,coverage,100.0,1.0,-3.87
marathon,information,truncation,100.0,0.0,-3.87
marathon,information,duplicate,100.0,0.0,-3.87
marathon,layout,whitespace,100.0,0.1801,-3.87
marathon,layout,margin_consistency,34.81,0.5276,-3.87
marathon,layout,spacing_rhythm,36.61,0.5582,-3.87
marathon,layout,density,100.0,0.8199,-3.87
marathon,layout,overlap,100.0,0.0,-3.87
marathon,layout,overflow,100.0,0.0,-3.87
marathon,visual,color_harmony,67.11,"{""avg_lab_distance"": 98.33, ""color_count"": 6}",-3.87
marathon,visual,contrast,38.59,3.035,-3.87
marathon,visual,visual_focus,93.6,0.3555,-3.87
marathon,visual,visual_balance,90.43,0.1256,-3.87
marathon,visual,text_image_ratio,37.2,1.0,-3.87
marathon,visual,reading_flow,83.01,"{""backtracks"": 0, ""path_norm"": 0.9439}",-3.87
marathon,visual,hierarchy,88.61,0.182,-3.87
meeting,consistency,alignment,95.0,0.95,1.6
meeting,consistency,typography_rhythm,82.26,4,1.6
meeting,consistency,corner_radius_consistency,36.79,"{""radii"": [4.46, 5.25, 12.41, 10.31], ""unique_radius_count"": 4}",1.6
meeting,consistency,padding_consistency,14.16,0.6982,1.6
meeting,consistency,icon_size_consistency,95.12,0.0143,1.6
meeting,consistency,grid,80.0,0.8,1.6
meeting,consistency,style_simplicity,60.65,6,1.6
meeting,information,coverage,100.0,1.0,1.6
meeting,information,truncation,100.0,0.0,1.6
meeting,information,duplicate,100.0,0.0,1.6
meeting,layout,whitespace,100.0,0.5981,1.6
meeting,layout,margin_consistency,24.48,0.7036,1.6
meeting,layout,spacing_rhythm,54.44,0.3378,1.6
meeting,layout,density,100.0,0.4019,1.6
meeting,layout,overlap,100.0,0.0,1.6
meeting,layout,overflow,100.0,0.0,1.6
meeting,visual,color_harmony,70.39,"{""avg_lab_distance"": 94.49, ""color_count"": 6}",1.6
meeting,visual,contrast,21.32,2.194,1.6
meeting,visual,visual_focus,72.31,0.2406,1.6
meeting,visual,visual_balance,95.28,0.087,1.6
meeting,visual,text_image_ratio,99.23,0.5897,1.6
meeting,visual,reading_flow,80.91,"{""backtracks"": 0, ""path_norm"": 1.0603}",1.6
meeting,visual,hierarchy,99.04,0.2666,1.6
sleep,consistency,alignment,50.0,0.5,-5.29
sleep,consistency,typography_rhythm,82.26,4,-5.29
sleep,consistency,grid,50.0,0.5,-5.29
sleep,consistency,style_simplicity,60.65,6,-5.29
sleep,information,coverage,33.33,0.3333,-5.29
sleep,information,truncation,66.67,0.3333,-5.29
sleep,information,duplicate,100.0,0.0,-5.29
sleep,layout,whitespace,100.0,0.1814,-5.29
sleep,layout,margin_consistency,29.77,0.6059,-5.29
