sample_id,dimension,rule_score,teacher_mapped_score,error_rule_minus_teacher,abs_error,mapping
battery,information,98.57,85.25,13.32,13.32,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
battery,layout,79.5,79.62,-0.12,0.12,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
battery,visual,76.42,78.94,-2.52,2.52,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
battery,consistency,54.11,74.38,-20.27,20.27,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
care,information,46.0,66.12,-20.12,20.12,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
care,layout,82.55,59.81,22.74,22.74,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
care,visual,45.55,56.25,-10.7,10.7,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
care,consistency,60.73,54.88,5.85,5.85,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
earbuds,information,97.14,36.75,60.39,60.39,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
earbuds,layout,51.59,35.19,16.4,16.4,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
earbuds,visual,39.49,40.56,-1.07,1.07,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
earbuds,consistency,66.49,37.94,28.55,28.55,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
focus,information,100.0,87.12,12.88,12.88,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
focus,layout,82.86,85.31,-2.45,2.45,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
focus,visual,78.04,85.0,-6.96,6.96,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
focus,consistency,56.65,81.31,-24.66,24.66,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
marathon,information,100.0,83.75,16.25,16.25,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
marathon,layout,82.93,75.38,7.55,7.55,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
marathon,visual,49.81,74.81,-25.0,25.0,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
marathon,consistency,51.92,70.06,-18.14,18.14,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
meeting,information,100.0,64.38,35.62,35.62,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
meeting,layout,83.63,33.44,50.19,50.19,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
meeting,visual,64.0,61.38,2.62,2.62,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
meeting,consistency,69.72,53.0,16.72,16.72,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
sleep,information,46.66,85.25,-38.59,38.59,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
sleep,layout,83.03,80.38,2.65,2.65,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
sleep,visual,46.99,80.5,-33.51,33.51,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
sleep,consistency,60.73,77.56,-16.83,16.83,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
status,information,100.0,78.62,21.38,21.38,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
status,layout,84.79,71.94,12.85,12.85,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
status,visual,52.83,68.0,-15.17,15.17,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
status,consistency,65.75,64.5,1.25,1.25,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
warn,information,100.0,83.75,16.25,16.25,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
warn,layout,82.79,75.94,6.85,6.85,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
warn,visual,72.58,71.88,0.7,0.7,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
warn,consistency,58.17,70.31,-12.14,12.14,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
weather,information,82.0,79.38,2.62,2.62,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
weather,layout,79.37,75.75,3.62,3.62,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
weather,visual,72.29,72.56,-0.27,0.27,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
weather,consistency,54.92,72.81,-17.89,17.89,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
