sample_id,dimension,metric,metric_score,metric_value,overall_error_rule_minus_teacher
battery,consistency,alignment,69.23,0.6923,-0.8
battery,consistency,typography_rhythm,45.78,5,-0.8
battery,consistency,corner_radius_consistency,36.79,"{""radii"": [6.72, 6.72, 6.48, 11.63, 43.03, 9.49], ""unique_radius_count"": 4}",-0.8
battery,consistency,padding_consistency,11.35,0.777,-0.8
battery,consistency,icon_size_consistency,29.88,0.3451,-0.8
battery,consistency,grid,80.77,0.8077,-0.8
battery,consistency,style_simplicity,88.25,5,-0.8
battery,information,coverage,100.0,1.0,-0.8
battery,information,truncation,100.0,0.0,-0.8
battery,information,duplicate,85.71,0.1429,-0.8
battery,layout,whitespace,100.0,0.4131,-0.8
battery,layout,margin_consistency,20.98,0.7808,-0.8
battery,layout,spacing_rhythm,35.41,0.5768,-0.8
battery,layout,density,100.0,0.5869,-0.8
battery,layout,overlap,90.85,0.0915,-0.8
battery,layout,overflow,100.0,0.0,-0.8
battery,visual,color_harmony,95.04,"{""avg_lab_distance"": 77.45, ""color_count"": 5}",-0.8
battery,visual,contrast,24.79,2.39,-0.8
battery,visual,visual_focus,85.46,0.3042,-0.8
battery,visual,visual_balance,88.49,0.1384,-0.8
battery,visual,text_image_ratio,66.29,0.2598,-0.8
battery,visual,reading_flow,68.19,"{""backtracks"": 1, ""path_norm"": 1.1004}",-0.8
battery,visual,hierarchy,96.75,0.2383,-0.8
care,consistency,alignment,40.0,0.4,8.98
care,consistency,typography_rhythm,82.26,4,8.98
care,consistency,grid,60.0,0.6,8.98
care,consistency,style_simplicity,60.65,6,8.98
care,information,coverage,40.0,0.4,8.98
care,information,truncation,40.0,0.6,8.98
care,information,duplicate,100.0,0.0,8.98
care,layout,whitespace,100.0,0.2084,8.98
care,layout,margin_consistency,39.24,0.4677,8.98
care,layout,spacing_rhythm,28.38,0.6997,8.98
care,layout,density,100.0,0.7916,8.98
care,layout,overlap,100.0,0.0,8.98
care,layout,overflow,100.0,0.0,8.98
care,visual,color_harmony,67.43,"{""avg_lab_distance"": 97.96, ""color_count"": 6}",8.98
care,visual,contrast,16.64,1.889,8.98
care,visual,visual_focus,30.17,0.8525,8.98
care,visual,visual_balance,57.52,0.2945,8.98
care,visual,text_image_ratio,37.2,1.0,8.98
care,visual,sparse_text_stack,0.0,"{""occupied_density"": 0.1394, ""text_density"": 0.1394, ""text_dominance"": 1.0}",8.98
care,visual,reading_flow,85.39,"{""backtracks"": 0, ""path_norm"": 0.8114}",8.98
care,visual,hierarchy,99.72,0.3178,8.98
earbuds,consistency,alignment,90.91,0.9091,10.42
earbuds,consistency,typography_rhythm,45.78,5,10.42
earbuds,consistency,corner_radius_consistency,60.65,"{""radii"": [4.21, 8.04, 6.74], ""unique_radius_count"": 3}",10.42
earbuds,consistency,padding_consistency,25.77,0.4843,10.42
earbuds,consistency,icon_size_consistency,45.7,0.2237,10.42
earbuds,consistency,grid,93.18,0.9318,10.42
earbuds,consistency,style_simplicity,88.25,3,10.42
earbuds,information,coverage,100.0,1.0,10.42
earbuds,information,truncation,85.71,0.1429,10.42
earbuds,information,duplicate,100.0,0.0,10.42
earbuds,layout,whitespace,43.97,0.8038,10.42
earbuds,layout,margin_consistency,31.08,0.5843,10.42
earbuds,layout,spacing_rhythm,17.18,0.9786,10.42
earbuds,layout,density,30.63,0.1962,10.42
earbuds,layout,overlap,100.0,0.0,10.42
earbuds,layout,overflow,100.0,0.0,10.42
