sample_id,dimension,rule_score,teacher_mapped_score,error_rule_minus_teacher,abs_error,mapping
battery,information,98.57,85.25,13.32,13.32,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
battery,layout,73.14,79.62,-6.48,6.48,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
battery,visual,77.54,78.94,-1.4,1.4,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
battery,consistency,54.11,74.38,-20.27,20.27,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
care,information,46.0,66.12,-20.12,20.12,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
care,layout,76.16,59.81,16.35,16.35,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
care,visual,53.73,56.25,-2.52,2.52,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
care,consistency,60.73,54.88,5.85,5.85,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
earbuds,information,97.14,36.75,60.39,60.39,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
earbuds,layout,48.81,35.19,13.62,13.62,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
earbuds,visual,45.37,40.56,4.81,4.81,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
earbuds,consistency,66.49,37.94,28.55,28.55,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
focus,information,100.0,87.12,12.88,12.88,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
focus,layout,77.63,85.31,-7.68,7.68,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
focus,visual,78.18,85.0,-6.82,6.82,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
focus,consistency,56.65,81.31,-24.66,24.66,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
marathon,information,100.0,83.75,16.25,16.25,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
marathon,layout,76.73,75.38,1.35,1.35,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
marathon,visual,66.25,74.81,-8.56,8.56,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
marathon,consistency,51.92,70.06,-18.14,18.14,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
meeting,information,100.0,64.38,35.62,35.62,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
meeting,layout,78.13,33.44,44.69,44.69,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
meeting,visual,65.03,61.38,3.65,3.65,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
meeting,consistency,69.72,53.0,16.72,16.72,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
sleep,information,46.66,85.25,-38.59,38.59,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
sleep,layout,77.04,80.38,-3.34,3.34,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
sleep,visual,63.89,80.5,-16.61,16.61,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
sleep,consistency,60.73,77.56,-16.83,16.83,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
status,information,100.0,78.62,21.38,21.38,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
status,layout,79.22,71.94,7.28,7.28,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
status,visual,64.01,68.0,-3.99,3.99,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
status,consistency,65.75,64.5,1.25,1.25,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
warn,information,100.0,83.75,16.25,16.25,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
warn,layout,77.13,75.94,1.19,1.19,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
warn,visual,73.61,71.88,1.73,1.73,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
warn,consistency,58.17,70.31,-12.14,12.14,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
weather,information,82.0,79.38,2.62,2.62,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
weather,layout,72.94,75.75,-2.81,2.81,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
weather,visual,75.13,72.56,2.57,2.57,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
weather,consistency,54.92,72.81,-17.89,17.89,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
