sample_id,dimension,metric,metric_score,metric_value,overall_error_rule_minus_teacher
battery,consistency,alignment,69.23,0.6923,-3.35
battery,consistency,typography_rhythm,45.78,5,-3.35
battery,consistency,corner_radius_consistency,36.79,"{""radii"": [6.72, 6.72, 6.48, 11.63, 43.03, 9.49], ""unique_radius_count"": 4}",-3.35
battery,consistency,padding_consistency,11.35,0.777,-3.35
battery,consistency,icon_size_consistency,29.88,0.3451,-3.35
battery,consistency,grid,80.77,0.8077,-3.35
battery,consistency,style_simplicity,88.25,5,-3.35
battery,information,coverage,100.0,1.0,-3.35
battery,information,truncation,100.0,0.0,-3.35
battery,information,duplicate,85.71,0.1429,-3.35
battery,layout,whitespace,100.0,0.4131,-3.35
battery,layout,margin_consistency,15.35,0.7808,-3.35
battery,layout,spacing_rhythm,28.11,0.5768,-3.35
battery,layout,density,100.0,0.5869,-3.35
battery,layout,overlap,90.85,0.0915,-3.35
battery,layout,overflow,100.0,0.0,-3.35
battery,visual,color_harmony,95.04,"{""avg_lab_distance"": 77.45, ""color_count"": 5}",-3.35
battery,visual,contrast,24.79,2.39,-3.35
battery,visual,visual_focus,85.46,0.3042,-3.35
battery,visual,visual_balance,88.49,0.1384,-3.35
battery,visual,text_image_ratio,66.29,0.2598,-3.35
battery,visual,reading_flow,68.19,"{""backtracks"": 1, ""path_norm"": 1.1004}",-3.35
battery,visual,hierarchy,96.75,0.2383,-3.35
care,consistency,alignment,40.0,0.4,7.38
care,consistency,typography_rhythm,82.26,4,7.38
care,consistency,grid,60.0,0.6,7.38
care,consistency,style_simplicity,60.65,6,7.38
care,information,coverage,40.0,0.4,7.38
care,information,truncation,40.0,0.6,7.38
care,information,duplicate,100.0,0.0,7.38
care,layout,whitespace,100.0,0.2084,7.38
care,layout,margin_consistency,32.54,0.4677,7.38
care,layout,spacing_rhythm,21.45,0.6997,7.38
care,layout,density,100.0,0.7916,7.38
care,layout,overlap,100.0,0.0,7.38
care,layout,overflow,100.0,0.0,7.38
care,visual,color_harmony,67.43,"{""avg_lab_distance"": 97.96, ""color_count"": 6}",7.38
care,visual,contrast,16.64,1.889,7.38
care,visual,visual_focus,30.17,0.8525,7.38
care,visual,visual_balance,57.52,0.2945,7.38
care,visual,text_image_ratio,37.2,1.0,7.38
care,visual,reading_flow,85.39,"{""backtracks"": 0, ""path_norm"": 0.8114}",7.38
care,visual,hierarchy,99.72,0.3178,7.38
earbuds,consistency,alignment,90.91,0.9091,11.06
earbuds,consistency,typography_rhythm,45.78,5,11.06
earbuds,consistency,corner_radius_consistency,60.65,"{""radii"": [4.21, 8.04, 6.74], ""unique_radius_count"": 3}",11.06
earbuds,consistency,padding_consistency,25.77,0.4843,11.06
earbuds,consistency,icon_size_consistency,45.7,0.2237,11.06
earbuds,consistency,grid,93.18,0.9318,11.06
earbuds,consistency,style_simplicity,88.25,3,11.06
earbuds,information,coverage,100.0,1.0,11.06
earbuds,information,truncation,85.71,0.1429,11.06
earbuds,information,duplicate,100.0,0.0,11.06
earbuds,layout,whitespace,43.97,0.8038,11.06
earbuds,layout,margin_consistency,24.6,0.5843,11.06
earbuds,layout,spacing_rhythm,11.61,0.9786,11.06
earbuds,layout,density,30.63,0.1962,11.06
earbuds,layout,overlap,100.0,0.0,11.06
earbuds,layout,overflow,100.0,0.0,11.06
earbuds,visual,color_harmony,45.41,"{""avg_lab_distance"": 127.65, ""color_count"": 3}",11.06
earbuds,visual,contrast,36.41,2.943,11.06
earbuds,visual,visual_focus,97.44,0.5092,11.06
earbuds,visual,visual_balance,89.8,0.1299,11.06
earbuds,visual,text_image_ratio,58.66,0.8805,11.06
earbuds,visual,sparse_text_stack,0.0,"{""element_density"": 0.1962, ""occupied_density"": 0.1962, ""pixel_foreground_density"": 0.0758, ""text_density"": 0.1776, ""text_dominance"": 0.9055}",11.06
earbuds,visual,reading_flow,79.1,"{""backtracks"": 0, ""path_norm"": 1.1613}",11.06
earbuds,visual,hierarchy,95.58,0.3722,11.06
focus,consistency,alignment,65.0,0.65,-8.06
focus,consistency,typography_rhythm,82.26,2,-8.06
focus,consistency,corner_radius_consistency,60.65,"{""radii"": [3.52, 4.13, 5.14, 7.04, 8.01], ""unique_radius_count"": 3}",-8.06
focus,consistency,padding_consistency,18.67,0.5994,-8.06
focus,consistency,icon_size_consistency,26.93,0.3748,-8.06
focus,consistency,grid,62.5,0.625,-8.06
focus,consistency,style_simplicity,60.65,6,-8.06
focus,information,coverage,100.0,1.0,-8.06
focus,information,truncation,100.0,0.0,-8.06
focus,information,duplicate,100.0,0.0,-8.06
focus,layout,whitespace,100.0,0.4867,-8.06
focus,layout,margin_consistency,10.26,0.9487,-8.06
focus,layout,spacing_rhythm,52.72,0.291,-8.06
focus,layout,density,100.0,0.5133,-8.06
focus,layout,overlap,100.0,0.0,-8.06
focus,layout,overflow,100.0,0.0,-8.06
focus,visual,color_harmony,80.09,"{""avg_lab_distance"": 81.47, ""color_count"": 6}",-8.06
focus,visual,contrast,56.13,3.747,-8.06
focus,visual,visual_focus,79.12,0.272,-8.06
focus,visual,visual_balance,99.24,0.0345,-8.06
focus,visual,text_image_ratio,98.83,0.5009,-8.06
focus,visual,reading_flow,90.73,"{""backtracks"": 0, ""path_norm"": 0.5147}",-8.06
focus,visual,hierarchy,96.98,0.2406,-8.06
marathon,consistency,alignment,41.67,0.4167,-3.52
marathon,consistency,typography_rhythm,45.78,5,-3.52
marathon,consistency,grid,62.5,0.625,-3.52
marathon,consistency,style_simplicity,60.65,6,-3.52
marathon,information,coverage,100.0,1.0,-3.52
marathon,information,truncation,100.0,0.0,-3.52
marathon,information,duplicate,100.0,0.0,-3.52
marathon,layout,whitespace,100.0,0.1801,-3.52
marathon,layout,margin_consistency,28.19,0.5276,-3.52
marathon,layout,spacing_rhythm,29.28,0.5582,-3.52
marathon,layout,density,100.0,0.8199,-3.52
marathon,layout,overlap,100.0,0.0,-3.52
marathon,layout,overflow,100.0,0.0,-3.52
marathon,visual,color_harmony,67.11,"{""avg_lab_distance"": 98.33, ""color_count"": 6}",-3.52
marathon,visual,contrast,38.59,3.035,-3.52
marathon,visual,visual_focus,93.6,0.3555,-3.52
marathon,visual,visual_balance,90.43,0.1256,-3.52
marathon,visual,text_image_ratio,37.2,1.0,-3.52
marathon,visual,reading_flow,83.01,"{""backtracks"": 0, ""path_norm"": 0.9439}",-3.52
marathon,visual,hierarchy,88.61,0.182,-3.52
meeting,consistency,alignment,95.0,0.95,13.9
meeting,consistency,typography_rhythm,82.26,4,13.9
meeting,consistency,corner_radius_consistency,36.79,"{""radii"": [4.46, 5.25, 12.41, 10.31], ""unique_radius_count"": 4}",13.9
meeting,consistency,padding_consistency,14.16,0.6982,13.9
meeting,consistency,icon_size_consistency,95.12,0.0143,13.9
meeting,consistency,grid,80.0,0.8,13.9
meeting,consistency,style_simplicity,60.65,6,13.9
meeting,information,coverage,100.0,1.0,13.9
meeting,information,truncation,100.0,0.0,13.9
meeting,information,duplicate,100.0,0.0,13.9
meeting,layout,whitespace,100.0,0.5981,13.9
meeting,layout,margin_consistency,18.48,0.7036,13.9
meeting,layout,spacing_rhythm,47.56,0.3378,13.9
meeting,layout,density,100.0,0.4019,13.9
meeting,layout,overlap,100.0,0.0,13.9
meeting,layout,overflow,100.0,0.0,13.9
meeting,visual,color_harmony,70.39,"{""avg_lab_distance"": 94.49, ""color_count"": 6}",13.9
meeting,visual,contrast,21.32,2.194,13.9
meeting,visual,visual_focus,72.31,0.2406,13.9
meeting,visual,visual_balance,95.28,0.087,13.9
meeting,visual,text_image_ratio,99.23,0.5897,13.9
meeting,visual,reading_flow,80.91,"{""backtracks"": 0, ""path_norm"": 1.0603}",13.9
meeting,visual,hierarchy,99.04,0.2666,13.9
sleep,consistency,alignment,50.0,0.5,-9.36
sleep,consistency,typography_rhythm,82.26,4,-9.36
sleep,consistency,grid,50.0,0.5,-9.36
sleep,consistency,style_simplicity,60.65,6,-9.36
sleep,information,coverage,33.33,0.3333,-9.36
sleep,information,truncation,66.67,0.3333,-9.36
sleep,information,duplicate,100.0,0.0,-9.36
sleep,layout,whitespace,100.0,0.1814,-9.36
sleep,layout,margin_consistency,23.36,0.6059,-9.36
sleep,layout,spacing_rhythm,36.03,0.464,-9.36
sleep,layout,density,100.0,0.8186,-9.36
sleep,layout,overlap,100.0,0.0,-9.36
sleep,layout,overflow,100.0,0.0,-9.36
sleep,visual,color_harmony,55.97,"{""avg_lab_distance"": 111.56, ""color_count"": 6}",-9.36
sleep,visual,contrast,52.7,3.608,-9.36
sleep,visual,visual_focus,99.5,0.4239,-9.36
sleep,visual,visual_balance,85.25,0.1582,-9.36
sleep,visual,text_image_ratio,37.2,1.0,-9.36
sleep,visual,reading_flow,88.7,"{""backtracks"": 0, ""path_norm"": 0.6278}",-9.36
sleep,visual,hierarchy,72.95,0.1094,-9.36
status,consistency,alignment,50.0,0.5,4.44
status,consistency,typography_rhythm,82.26,4,4.44
status,consistency,grid,50.0,0.5,4.44
status,consistency,style_simplicity,88.25,5,4.44
status,information,coverage,100.0,1.0,4.44
status,information,truncation,100.0,0.0,4.44
status,information,duplicate,100.0,0.0,4.44
status,layout,whitespace,100.0,0.1587,4.44
status,layout,margin_consistency,28.93,0.5168,4.44
status,layout,spacing_rhythm,43.82,0.375,4.44
status,layout,density,100.0,0.8413,4.44
status,layout,overlap,100.0,0.0,4.44
status,layout,overflow,100.0,0.0,4.44
status,visual,color_harmony,82.75,"{""avg_lab_distance"": 94.99, ""color_count"": 5}",4.44
status,visual,contrast,7.73,1.02,4.44
status,visual,visual_focus,48.68,0.762,4.44
status,visual,visual_balance,83.12,0.1703,4.44
status,visual,text_image_ratio,37.2,1.0,4.44
status,visual,reading_flow,91.31,"{""backtracks"": 0, ""path_norm"": 0.4828}",4.44
status,visual,hierarchy,97.75,0.3512,4.44
warn,consistency,alignment,68.18,0.6818,1.36
warn,consistency,typography_rhythm,82.26,2,1.36
warn,consistency,component_size,25.67,0.68,1.36
warn,consistency,corner_radius_consistency,36.79,"{""radii"": [1.88, 8.87, 8.96, 5.62, 9.48], ""unique_radius_count"": 4}",1.36
warn,consistency,padding_consistency,21.86,0.543,1.36
warn,consistency,grid,75.0,0.75,1.36
warn,consistency,style_simplicity,88.25,5,1.36
warn,information,coverage,100.0,1.0,1.36
warn,information,truncation,100.0,0.0,1.36
warn,information,duplicate,100.0,0.0,1.36
warn,layout,whitespace,100.0,0.4868,1.36
warn,layout,margin_consistency,16.58,0.7488,1.36
warn,layout,spacing_rhythm,44.45,0.3685,1.36
warn,layout,density,100.0,0.5132,1.36
warn,layout,overlap,98.74,0.0126,1.36
warn,layout,overflow,100.0,0.0,1.36
warn,visual,color_harmony,61.31,"{""avg_lab_distance"": 122.11, ""color_count"": 5}",1.36
warn,visual,contrast,99.21,8.333,1.36
warn,visual,visual_focus,80.88,0.2806,1.36
warn,visual,visual_balance,98.65,0.0462,1.36
warn,visual,text_image_ratio,77.45,0.3213,1.36
warn,visual,reading_flow,74.11,"{""backtracks"": 0, ""path_norm"": 1.4382}",1.36
warn,visual,hierarchy,85.09,0.1636,1.36
weather,consistency,alignment,61.54,0.6154,-0.36
weather,consistency,typography_rhythm,100.0,3,-0.36
weather,consistency,corner_radius_consistency,13.53,"{""radii"": [3.47, 6.74, 6.35, 5.3, 13.28, 15.41, 8.15, 9.07], ""unique_radius_count"": 6}",-0.36
weather,consistency,padding_consistency,16.25,0.649,-0.36
weather,consistency,icon_size_consistency,15.81,0.5271,-0.36
weather,consistency,grid,78.85,0.7885,-0.36
weather,consistency,style_simplicity,60.65,6,-0.36
weather,information,coverage,80.0,0.8,-0.36
weather,information,truncation,80.0,0.2,-0.36
weather,information,duplicate,100.0,0.0,-0.36
weather,layout,whitespace,100.0,0.3597,-0.36
weather,layout,margin_consistency,11.09,0.9164,-0.36
weather,layout,spacing_rhythm,25.71,0.6174,-0.36
weather,layout,density,100.0,0.6403,-0.36
weather,layout,overlap,97.08,0.0292,-0.36
weather,layout,overflow,100.0,0.0,-0.36
weather,visual,color_harmony,84.49,"{""avg_lab_distance"": 71.46, ""color_count"": 6}",-0.36
weather,visual,contrast,23.83,2.338,-0.36
weather,visual,visual_focus,95.21,0.3685,-0.36
weather,visual,visual_balance,95.94,0.0806,-0.36
weather,visual,text_image_ratio,67.97,0.2688,-0.36
weather,visual,reading_flow,88.73,"{""backtracks"": 0, ""path_norm"": 0.6261}",-0.36
weather,visual,hierarchy,78.92,0.1349,-0.36
